Student_ID,Gender,Study_Hours,Family_Income,Attendance,Test_Score,Extra_Activities,Internet_Access,Parental_Education,School_Type,Health_Status,Part_Time_Job
134,Other,1.0,Medium,70,27.0,Debate,No,High School,Private,Good,No
135,Male,11.0,Low,71,,Debate,No,High School,Government,Average,No
136,Female,17.0,Medium,77,60.0,Music,No,High School,Private,Average,Yes
137,Male,5.0,Low,58,23.0,None,Yes,High School,Private,Good,Yes
138,Female,8.0,,93,9.0,Debate,Yes,Bachelor,Government,Poor,Yes
139,Other,8.0,High,90,41.0,Music,No,Bachelor,Private,Excellent,No
140,Male,3.0,High,90,36.0,Debate,Yes,High School,Government,Good,No
141,Other,9.0,High,65,14.0,None,Yes,Bachelor,Private,Average,Yes
142,Other,11.0,Medium,86,27.0,Music,No,Bachelor,Government,Poor,Yes
143,Other,7.0,High,54,36.0,None,No,PhD,Private,Good,No
144,Male,19.0,High,63,64.0,Music,Yes,Master,Private,Excellent,No
145,Male,,High,63,12.0,Music,No,High School,Private,Excellent,Yes
146,Female,,Low,96,58.0,Debate,Yes,High School,Private,Excellent,No
147,Male,16.0,Medium,65,67.0,None,Yes,PhD,Private,Excellent,Yes
148,Female,16.0,High,88,55.0,Sports,Yes,Bachelor,Private,Good,Yes
149,Female,18.0,High,92,,None,No,PhD,Private,Poor,No
150,Male,6.0,High,53,63.0,Sports,No,Bachelor,Private,Average,Yes
151,Male,19.0,Low,86,66.0,None,No,PhD,Government,Average,No
152,Other,3.0,Medium,63,19.0,Debate,Yes,Bachelor,Private,Good,No
153,Other,19.0,High,90,98.0,None,Yes,Bachelor,Private,Excellent,Yes
154,Male,8.0,High,72,26.0,None,No,PhD,Private,Average,No
155,Female,11.0,High,58,11.0,Sports,Yes,High School,Private,Good,No
156,Male,12.0,Low,73,40.0,Sports,Yes,PhD,Government,Good,No
157,Other,8.0,Low,60,79.0,None,Yes,Bachelor,Private,Good,No
158,Female,10.0,,77,95.0,Debate,Yes,Bachelor,Government,Good,Yes
159,Other,4.0,Low,68,50.0,Sports,Yes,High School,Government,Excellent,No
160,Male,7.0,Medium,68,96.0,Debate,Yes,Bachelor,Government,Poor,No
161,Male,,High,61,79.0,Sports,Yes,PhD,Government,Good,No
162,Male,11.0,Medium,96,28.0,Music,No,Master,Government,Poor,No
163,Other,,Medium,83,90.0,Music,No,High School,Government,Excellent,No
164,Male,9.0,Medium,61,94.0,Music,Yes,PhD,Government,Good,No
165,Male,,,52,50.0,Music,Yes,Bachelor,Private,Excellent,Yes
166,Male,11.0,Low,79,58.0,Music,Yes,Bachelor,Private,Poor,Yes
167,Other,13.0,Medium,96,87.0,Music,No,High School,Private,Poor,Yes
168,Other,12.0,Low,95,30.0,Debate,No,PhD,Government,Good,No
169,Male,15.0,Low,100,8.0,Debate,No,Bachelor,Private,Excellent,No
170,Other,9.0,High,84,99.0,Sports,Yes,PhD,Private,Poor,Yes
171,Female,7.0,High,64,69.0,None,No,PhD,Private,Poor,Yes
172,Female,19.0,High,92,29.0,None,Yes,Master,Government,Excellent,Yes
173,Female,13.0,High,71,89.0,None,Yes,PhD,Private,Average,Yes
174,Female,4.0,Medium,58,39.0,None,No,Master,Private,Excellent,No
175,Male,5.0,Low,77,6.0,Music,No,High School,Government,Good,No
176,Female,8.0,Medium,78,71.0,None,No,Master,Private,Average,Yes
177,Male,12.0,High,88,58.0,Music,Yes,PhD,Government,Good,No
178,Male,12.0,High,88,10.0,None,Yes,High School,Government,Poor,No
179,Other,1.0,Low,88,2.0,Sports,No,Master,Government,Good,Yes
180,Female,12.0,Low,66,3.0,Debate,No,High School,Private,Excellent,No
181,Male,1.0,Low,53,96.0,Music,No,Bachelor,Private,Poor,No
182,Other,14.0,High,53,19.0,Debate,No,PhD,Private,Good,Yes
183,Male,11.0,Low,56,4.0,None,No,Bachelor,Government,Excellent,Yes
184,Male,9.0,Low,51,33.0,Debate,Yes,High School,Government,Excellent,No
185,Other,3.0,High,86,13.0,None,Yes,Master,Private,Excellent,Yes
186,Male,7.0,Medium,59,12.0,Debate,Yes,High School,Private,Average,No
187,Other,3.0,Medium,67,60.0,Debate,Yes,Bachelor,Private,Average,Yes
188,Female,1.0,High,77,,None,No,PhD,Government,Good,Yes
189,Male,17.0,,95,44.0,None,No,High School,Government,Excellent,Yes
190,Male,,High,84,52.0,Music,No,Bachelor,Government,Good,Yes
191,Female,13.0,Medium,84,23.0,Debate,No,High School,Private,Poor,Yes
192,Male,9.0,Low,100,93.0,Music,No,High School,Government,Average,Yes
193,Other,11.0,Medium,79,62.0,None,No,PhD,Government,Average,No
194,Other,7.0,,70,74.0,None,Yes,Master,Private,Excellent,Yes
195,Other,16.0,High,74,8.0,Sports,No,Bachelor,Private,Excellent,No
196,Male,11.0,Medium,62,62.0,Sports,No,High School,Private,Excellent,No
197,Female,19.0,High,56,55.0,Sports,No,PhD,Government,Poor,Yes
198,Male,2.0,Medium,55,76.0,None,Yes,High School,Private,Excellent,Yes
199,Female,9.0,High,69,76.0,Debate,No,Master,Private,Average,Yes
200,Female,10.0,Low,94,,None,No,PhD,Government,Poor,No
201,Male,13.0,Medium,54,70.0,None,Yes,PhD,Government,Average,Yes
202,Female,6.0,Medium,87,74.0,Sports,Yes,High School,Private,Poor,No
203,Male,4.0,Low,93,41.0,Debate,Yes,PhD,Private,Average,Yes
204,Male,,High,89,,Music,No,High School,Government,Good,Yes
205,Male,11.0,Medium,74,63.0,Sports,No,PhD,Private,Good,No
206,Male,15.0,Low,67,91.0,None,Yes,High School,Government,Good,No
207,Other,5.0,High,73,71.0,None,No,PhD,Private,Good,No
208,Male,19.0,Low,64,14.0,Debate,No,Master,Government,Good,Yes
209,Other,9.0,Low,57,68.0,Music,No,Master,Government,Average,Yes
210,Male,14.0,Medium,62,21.0,Debate,Yes,Master,Private,Excellent,Yes
211,Female,14.0,High,88,19.0,Debate,Yes,High School,Government,Good,No
212,Other,5.0,Medium,97,67.0,Music,No,High School,Private,Average,Yes
213,Male,0.0,High,74,44.0,Music,Yes,High School,Government,Average,No
214,Male,5.0,High,72,88.0,Sports,Yes,Master,Private,Good,Yes
215,Female,12.0,Low,54,79.0,Debate,No,PhD,Private,Good,No
216,Female,10.0,Low,71,39.0,Sports,Yes,High School,Private,Poor,Yes
217,Male,19.0,Medium,96,45.0,Debate,No,High School,Government,Poor,Yes
218,Female,19.0,High,71,90.0,Debate,No,High School,Government,Excellent,Yes
219,Female,19.0,Low,74,62.0,Sports,Yes,PhD,Private,Good,Yes
220,Other,11.0,High,96,92.0,Sports,No,High School,Private,Excellent,Yes
221,Female,13.0,Low,50,11.0,Debate,Yes,Bachelor,Private,Poor,Yes
222,Female,8.0,Low,53,51.0,None,Yes,PhD,Government,Excellent,No
223,Other,12.0,Medium,81,6.0,Music,No,Master,Private,Average,Yes
224,Male,3.0,High,75,87.0,Debate,Yes,PhD,Government,Good,No
225,Other,8.0,Low,85,54.0,Sports,No,High School,Private,Good,Yes
226,Female,0.0,High,64,4.0,None,No,High School,Government,Excellent,Yes
227,Other,7.0,High,84,46.0,Debate,No,Master,Private,Poor,No
228,Female,1.0,High,87,96.0,Debate,Yes,High School,Private,Excellent,No
229,Other,12.0,Low,76,37.0,None,No,High School,Private,Average,No
230,Other,12.0,High,63,42.0,Music,No,High School,Private,Excellent,No
231,Male,0.0,Medium,83,69.0,Music,Yes,Bachelor,Private,Average,Yes
232,Female,0.0,Medium,74,7.0,Music,No,Bachelor,Government,Average,Yes
233,Other,5.0,Low,76,85.0,Sports,No,Master,Government,Poor,No
234,Other,15.0,,70,49.0,Music,No,Master,Private,Excellent,No
235,Female,16.0,,97,77.0,None,Yes,PhD,Government,Excellent,Yes
236,Other,12.0,Low,84,8.0,None,Yes,High School,Private,Excellent,Yes
237,Male,17.0,High,55,12.0,Debate,Yes,PhD,Government,Average,No
238,Female,2.0,Low,84,49.0,Music,No,High School,Government,Average,No
239,Male,14.0,Low,75,95.0,Sports,No,PhD,Government,Excellent,No
240,Female,1.0,Medium,64,77.0,None,Yes,High School,Private,Average,No
241,Male,5.0,,54,34.0,Sports,No,PhD,Government,Excellent,No
242,Female,19.0,High,75,24.0,None,Yes,High School,Private,Excellent,Yes
243,Other,13.0,,82,60.0,None,No,Bachelor,Private,Excellent,Yes
244,Female,17.0,Low,74,30.0,None,Yes,High School,Government,Average,Yes
245,Other,3.0,High,66,48.0,Sports,No,Master,Government,Good,Yes
246,Male,7.0,Low,93,42.0,None,No,Master,Private,Excellent,No
247,Other,1.0,High,69,44.0,None,No,PhD,Government,Excellent,No
248,Male,1.0,High,91,83.0,None,No,PhD,Private,Poor,No
249,Other,16.0,Medium,51,100.0,Sports,Yes,Bachelor,Government,Average,Yes
250,Male,3.0,Low,57,6.0,None,No,PhD,Government,Good,No
251,Female,15.0,High,68,,None,Yes,Master,Private,Good,No
252,Female,1.0,Low,78,5.0,Music,No,PhD,Private,Good,No
253,Other,18.0,Medium,97,88.0,None,No,Master,Government,Average,Yes
254,Female,5.0,Medium,68,49.0,Debate,Yes,Master,Private,Average,Yes
255,Other,1.0,Medium,58,69.0,Debate,No,Bachelor,Government,Excellent,No
256,Male,8.0,High,57,44.0,None,Yes,Bachelor,Private,Excellent,No
257,Male,5.0,Medium,98,53.0,None,No,High School,Government,Excellent,Yes
258,Female,5.0,Low,64,16.0,Debate,Yes,Master,Private,Good,No
259,Female,7.0,Low,83,85.0,Debate,No,PhD,Private,Good,No
260,Other,0.0,High,53,86.0,Sports,No,Master,Private,Excellent,Yes
261,Other,15.0,Low,76,28.0,Debate,Yes,Master,Government,Excellent,No
262,Male,9.0,High,87,63.0,Sports,No,High School,Private,Good,Yes
263,Male,18.0,Medium,96,70.0,Debate,No,Bachelor,Private,Excellent,No
264,Other,17.0,High,62,98.0,None,Yes,High School,Government,Good,Yes
265,Female,15.0,High,81,19.0,None,No,High School,Government,Average,Yes
266,Female,0.0,Low,84,25.0,Debate,No,Master,Private,Good,Yes
267,Other,,Low,97,92.0,Debate,No,High School,Government,Good,Yes
268,Other,15.0,Medium,95,28.0,Debate,No,Master,Government,Excellent,Yes
269,Female,10.0,Low,85,6.0,Debate,No,Bachelor,Private,Average,Yes
270,Female,5.0,Low,59,33.0,None,No,High School,Government,Excellent,No
271,Female,13.0,Low,72,4.0,Sports,No,Master,Government,Poor,No
272,Female,15.0,Low,72,,Music,No,PhD,Government,Poor,No
273,Other,3.0,Low,53,5.0,Music,No,High School,Private,Average,No
274,Male,,Medium,93,95.0,Sports,No,Master,Government,Excellent,No
275,Female,18.0,Medium,54,99.0,Debate,Yes,PhD,Government,Excellent,Yes
276,Male,18.0,Medium,53,32.0,Sports,Yes,High School,Private,Good,Yes
277,Male,0.0,Medium,79,42.0,None,No,Master,Private,Average,Yes
278,Female,2.0,Medium,90,58.0,Sports,Yes,Master,Government,Average,Yes
279,Other,7.0,Low,82,32.0,Music,No,Master,Private,Average,Yes
280,Male,12.0,High,97,82.0,Sports,Yes,Master,Government,Excellent,Yes
281,Male,18.0,Medium,89,60.0,Debate,No,Bachelor,Private,Good,Yes
282,Other,0.0,High,62,17.0,Sports,Yes,PhD,Government,Average,Yes
283,Female,12.0,Medium,67,13.0,Music,No,PhD,Government,Average,Yes
284,Female,9.0,High,81,20.0,Debate,Yes,Bachelor,Private,Good,No
285,Other,15.0,Low,82,38.0,None,Yes,Bachelor,Private,Good,Yes
286,Other,8.0,Low,56,33.0,Music,No,PhD,Private,Poor,Yes
287,Male,1.0,Low,63,30.0,Debate,No,PhD,Government,Excellent,No
288,Female,7.0,High,89,80.0,Debate,Yes,PhD,Government,Poor,No
289,Female,2.0,Medium,97,6.0,None,Yes,Bachelor,Private,Good,No
290,Other,19.0,Low,63,84.0,Music,Yes,Master,Private,Average,No
291,Other,1.0,High,59,70.0,Music,Yes,Bachelor,Private,Poor,Yes
292,Female,3.0,Medium,90,0.0,Sports,No,PhD,Government,Good,Yes
293,Female,15.0,Low,88,85.0,Sports,No,Bachelor,Government,Poor,No
294,Female,7.0,Medium,86,21.0,Debate,Yes,PhD,Government,Poor,No
295,Male,14.0,Medium,95,86.0,Debate,No,High School,Government,Excellent,Yes
296,Male,15.0,Low,67,91.0,Debate,No,Master,Government,Good,No
297,Male,17.0,Low,68,62.0,Debate,Yes,PhD,Private,Average,No
298,Female,9.0,Medium,89,61.0,None,Yes,High School,Private,Poor,Yes
299,Female,18.0,Low,91,45.0,Sports,Yes,PhD,Government,Poor,Yes
300,Female,13.0,Low,92,56.0,None,No,Bachelor,Private,Good,No
301,Female,18.0,Low,86,93.0,None,Yes,Bachelor,Private,Good,Yes
302,Female,13.0,High,96,44.0,Sports,Yes,Bachelor,Private,Average,No
303,Other,2.0,Low,52,73.0,Music,Yes,PhD,Private,Poor,No
304,Male,13.0,,56,75.0,Sports,Yes,PhD,Government,Average,No
305,Female,1.0,Medium,56,79.0,None,Yes,Bachelor,Private,Good,No
306,Other,1.0,Medium,87,84.0,Debate,Yes,Master,Government,Good,Yes
307,Male,2.0,Low,55,12.0,Sports,Yes,Master,Private,Average,No
308,Other,1.0,Medium,59,67.0,None,No,Bachelor,Private,Excellent,Yes
309,Female,5.0,High,93,36.0,None,Yes,PhD,Private,Good,No
310,Other,3.0,Low,85,93.0,Debate,Yes,Master,Private,Good,Yes
311,Other,0.0,,86,89.0,Music,Yes,Bachelor,Government,Poor,Yes
312,Other,2.0,Medium,97,13.0,None,No,Bachelor,Private,Excellent,Yes
313,Male,15.0,,76,36.0,None,No,High School,Private,Poor,No
314,Other,14.0,Medium,94,88.0,Music,Yes,Bachelor,Private,Good,No
315,Male,10.0,Medium,50,90.0,None,No,PhD,Government,Poor,No
316,Female,18.0,Medium,50,13.0,Sports,No,High School,Government,Excellent,Yes
317,Female,3.0,Low,97,65.0,Sports,Yes,High School,Government,Average,Yes
318,Male,0.0,Low,70,65.0,None,Yes,Master,Private,Average,No
319,Female,1.0,Medium,86,32.0,None,No,High School,Government,Average,No
320,Male,9.0,Medium,77,1.0,Music,Yes,PhD,Private,Good,Yes
321,Male,2.0,Medium,98,97.0,Debate,Yes,Master,Government,Excellent,No
322,Other,16.0,Low,88,52.0,Sports,Yes,Master,Private,Poor,No
323,Male,11.0,Medium,85,88.0,Music,Yes,Bachelor,Private,Excellent,Yes
324,Female,1.0,Medium,51,54.0,Debate,No,PhD,Government,Excellent,Yes
325,Male,12.0,Medium,51,44.0,Sports,Yes,PhD,Government,Poor,No
326,Male,3.0,High,53,,Sports,No,High School,Government,Excellent,Yes
327,Male,14.0,High,51,26.0,None,Yes,PhD,Private,Excellent,Yes
328,Other,16.0,Medium,50,89.0,Debate,No,Master,Government,Average,Yes
329,Male,,Medium,98,51.0,None,No,Master,Private,Poor,No
330,Female,0.0,High,89,85.0,Music,Yes,PhD,Private,Poor,Yes
331,Other,1.0,Medium,67,46.0,Debate,No,High School,Government,Average,Yes
332,Female,9.0,Medium,90,57.0,Debate,No,Bachelor,Private,Excellent,No
333,Other,6.0,Low,83,6.0,None,No,PhD,Government,Excellent,No
334,Other,,High,76,12.0,Sports,Yes,High School,Government,Poor,Yes
335,Female,,High,85,47.0,Sports,No,High School,Government,Average,No
336,Female,9.0,High,88,27.0,None,Yes,High School,Private,Average,Yes
337,Other,1.0,Low,75,44.0,Music,Yes,Bachelor,Government,Good,Yes
338,Other,13.0,Low,60,55.0,None,Yes,Bachelor,Private,Average,Yes
339,Female,6.0,High,89,91.0,Debate,No,Bachelor,Government,Excellent,No
340,Other,12.0,Low,52,87.0,Sports,No,High School,Government,Poor,Yes
341,Other,1.0,Low,98,34.0,Music,Yes,Bachelor,Government,Poor,Yes
342,Other,5.0,Low,200,54.0,Debate,Yes,High School,Private,Average,No
343,Other,0.0,Medium,85,96.0,None,Yes,PhD,Government,Excellent,Yes
344,Other,10.0,High,65,36.0,Sports,No,High School,Government,Excellent,Yes
345,Male,6.0,Medium,84,8.0,Music,Yes,PhD,Private,Good,No
346,Male,4.0,High,71,2.0,Sports,No,PhD,Government,Average,No
347,Other,17.0,Low,65,1.0,Music,Yes,Bachelor,Government,Excellent,Yes
348,Male,19.0,High,82,57.0,None,Yes,Bachelor,Private,Average,No
349,Other,11.0,High,62,21.0,Music,No,High School,Private,Excellent,No
350,Other,17.0,,98,84.0,Debate,Yes,PhD,Government,Good,No
351,Other,8.0,Medium,77,100.0,Sports,Yes,PhD,Government,Good,Yes
352,Male,,Low,93,23.0,Music,No,Master,Private,Average,Yes
353,Other,17.0,Low,65,77.0,Debate,No,PhD,Government,Excellent,Yes
354,Male,1.0,Medium,51,53.0,Sports,No,Bachelor,Government,Good,Yes
355,Other,1.0,High,75,96.0,None,Yes,Bachelor,Private,Poor,Yes
356,Male,13.0,High,91,16.0,Debate,Yes,PhD,Private,Average,No
357,Male,,Low,77,57.0,Debate,No,PhD,Government,Poor,Yes
358,Female,0.0,Low,52,57.0,Sports,No,High School,Private,Excellent,No
359,Other,8.0,Low,93,20.0,None,No,Master,Private,Good,No
360,Male,11.0,High,70,,Music,Yes,Master,Private,Poor,No
361,Female,0.0,High,81,62.0,Debate,No,High School,Private,Excellent,Yes
362,Other,0.0,Low,55,62.0,Sports,Yes,High School,Government,Good,No
363,Male,8.0,High,54,43.0,Sports,Yes,Master,Government,Average,No
364,Female,15.0,High,73,39.0,Sports,Yes,Master,Government,Good,Yes
365,Female,16.0,High,50,74.0,Music,No,High School,Private,Average,Yes
366,Female,0.0,High,72,65.0,Sports,No,PhD,Government,Good,Yes
367,Male,4.0,,65,100.0,Music,No,PhD,Private,Good,No
368,Other,15.0,High,57,91.0,None,No,Bachelor,Private,Poor,No
