Job_Title,Experience_Years,Education_Level,Salary,Job_Type,Location,Company_Size,Age,Industry,Remote_Work,Skills,Performance_Rating
Accountant,6,Bachelor,132175.0,Full-time,Chicago,Enterprise,28,Education,No,SQL,3
Marketing Manager,14,High School,,Full-time,Boston,Enterprise,57,Retail,No,C++,4
Teacher,22,High School,134250.0,Full-time,,Medium,63,Retail,No,C++,4
Data Scientist,13,PhD,92725.0,Part-time,Seattle,Enterprise,57,IT,Yes,SQL,4
Data Scientist,22,PhD,148131.0,Internship,New York,Enterprise,63,Finance,Yes,Data Analysis,4
Nurse,18,PhD,65520.0,Contract,Remote,Large,56,Education,Yes,Python,3
Marketing Manager,28,High School,82919.0,Part-time,San Francisco,Medium,35,IT,No,Java,1
Software Engineer,19,High School,129869.0,Full-time,New York,Large,29,Retail,No,Excel,1
Nurse,28,Master,84442.0,Contract,Remote,Medium,31,Retail,No,Excel,2
Marketing Manager,23,PhD,149953.0,Full-time,Austin,Small,64,Retail,Yes,C++,2
Teacher,17,Master,41770.0,Full-time,Chicago,Enterprise,35,Healthcare,Yes,Java,5
Teacher,9,Bachelor,125246.0,Full-time,Remote,Enterprise,61,Healthcare,Yes,Marketing,4
Teacher,7,Master,67498.0,Contract,Boston,Large,59,Retail,No,SQL,4
Teacher,25,Bachelor,129687.0,Internship,Remote,Enterprise,29,Manufacturing,No,Data Analysis,3
Teacher,28,Bachelor,149269.0,Full-time,Austin,Enterprise,57,Finance,Yes,Marketing,4
Marketing Manager,9,Master,143447.0,Internship,Chicago,Large,44,Healthcare,Yes,C++,3
Marketing Manager,16,PhD,81477.0,Contract,Austin,Large,23,Education,Yes,SQL,5
Accountant,1,Bachelor,20244.0,Contract,Seattle,Medium,41,Healthcare,Yes,Excel,2
Data Scientist,5,PhD,52788.0,Full-time,Chicago,Small,50,Education,No,C++,2
Sales Executive,4,High School,115341.0,Internship,Boston,Large,62,Healthcare,Yes,C++,5
Teacher,27,Bachelor,99453.0,Internship,Chicago,Medium,33,Retail,No,Java,5
Software Engineer,4,High School,77737.0,Full-time,Austin,Large,29,Education,No,Python,4
Sales Executive,17,Master,66489.0,Part-time,San Francisco,Medium,48,Finance,No,C++,2
Marketing Manager,25,PhD,147962.0,Part-time,Austin,Small,54,Healthcare,No,Python,1
Software Engineer,19,Master,91303.0,Contract,Chicago,Medium,30,Healthcare,No,Java,5
Software Engineer,26,Bachelor,48390.0,Contract,Chicago,Medium,25,Retail,Yes,C++,2
Software Engineer,11,High School,30247.0,Part-time,Remote,Enterprise,55,Education,No,Data Analysis,2
Accountant,6,Bachelor,,Part-time,San Francisco,Large,20,Manufacturing,Yes,C++,3
Marketing Manager,2,Master,79719.0,Part-time,New York,Medium,37,Retail,Yes,Excel,2
Software Engineer,9,PhD,54678.0,Full-time,San Francisco,Large,21,Education,No,SQL,5
Teacher,33,PhD,,Full-time,New York,Medium,61,Healthcare,Yes,Data Analysis,4
Nurse,24,Bachelor,107802.0,Full-time,Boston,Enterprise,62,Healthcare,Yes,Python,2
Software Engineer,34,Bachelor,96286.0,Full-time,Chicago,Enterprise,19,Healthcare,Yes,Excel,1
Accountant,15,High School,49583.0,Full-time,Remote,Small,53,Healthcare,Yes,Data Analysis,5
Sales Executive,1,Master,143240.0,Full-time,Seattle,Medium,40,IT,No,C++,4
Marketing Manager,23,Bachelor,28076.0,Contract,Seattle,Enterprise,62,Healthcare,Yes,Java,4
Accountant,9,High School,38006.0,Internship,Austin,Large,36,Healthcare,Yes,Marketing,5
Software Engineer,21,Bachelor,35051.0,Contract,San Francisco,Medium,57,Manufacturing,No,Excel,4
Marketing Manager,25,PhD,24314.0,Internship,San Francisco,Medium,25,Manufacturing,No,Excel,1
Nurse,26,High School,48670.0,Contract,Seattle,Small,33,Education,No,Marketing,2
Software Engineer,28,High School,120757.0,Contract,New York,Large,60,Healthcare,No,C++,5
Accountant,19,Bachelor,87551.0,Full-time,San Francisco,Small,35,Healthcare,No,Excel,2
Data Scientist,26,Master,144920.0,Full-time,New York,Medium,53,Education,Yes,Python,2
Teacher,19,PhD,,Internship,New York,Small,41,Healthcare,No,C++,4
Sales Executive,18,Master,55568.0,Internship,New York,Medium,18,Healthcare,Yes,Python,5
Accountant,19,High School,80314.0,Full-time,New York,Medium,18,Retail,No,Python,2
Marketing Manager,34,Master,127327.0,Contract,Remote,Small,63,IT,Yes,Excel,3
Software Engineer,1,High School,144673.0,Internship,Austin,Small,53,Education,Yes,C++,1
Teacher,29,Master,130188.0,Part-time,Austin,Medium,28,Retail,No,Excel,4
Software Engineer,33,Bachelor,111903.0,Part-time,Remote,Small,35,Manufacturing,Yes,Excel,5
Marketing Manager,21,Master,,Part-time,Seattle,Small,33,Finance,No,C++,5
Software Engineer,2,High School,145721.0,Internship,Austin,Medium,34,Finance,Yes,C++,4
Data Scientist,5,PhD,148219.0,Full-time,Boston,Large,41,Manufacturing,No,C++,2
Teacher,14,PhD,65650.0,Full-time,Remote,Small,51,IT,Yes,,4
Teacher,26,PhD,30346.0,Full-time,San Francisco,Small,21,Finance,Yes,,5
Marketing Manager,9,High School,45156.0,Internship,Boston,Enterprise,52,IT,No,Java,3
Sales Executive,8,Master,75904.0,Internship,Remote,Large,32,Finance,No,C++,2
Data Scientist,32,PhD,34035.0,Part-time,Austin,Small,19,Finance,No,Marketing,4
Accountant,31,PhD,142141.0,Internship,San Francisco,Medium,48,Retail,No,C++,5
Software Engineer,5,PhD,36108.0,Part-time,,Enterprise,26,Finance,No,Excel,5
Nurse,1,Bachelor,149031.0,Part-time,New York,Enterprise,27,Manufacturing,No,Marketing,5
Software Engineer,28,High School,22853.0,Full-time,Seattle,Enterprise,42,IT,No,Data Analysis,3
Software Engineer,3,High School,104156.0,Internship,New York,Small,22,Healthcare,No,SQL,2
Accountant,0,High School,24176.0,Full-time,Remote,Medium,31,Healthcare,No,Python,4
Software Engineer,18,High School,120459.0,Full-time,New York,Enterprise,59,Healthcare,No,Java,2
Data Scientist,25,High School,45920.0,Internship,Boston,Large,55,IT,Yes,Marketing,5
Data Scientist,24,Bachelor,74850.0,Internship,Austin,Enterprise,57,IT,Yes,Data Analysis,3
Teacher,9,Master,26829.0,Contract,Boston,Enterprise,19,Healthcare,No,Python,3
Marketing Manager,14,Bachelor,143225.0,Part-time,Austin,Large,35,Manufacturing,No,Java,5
Sales Executive,21,PhD,120190.0,Contract,Boston,Enterprise,46,Finance,Yes,C++,2
Nurse,20,Bachelor,124775.0,Part-time,San Francisco,Enterprise,37,Healthcare,No,Data Analysis,2
Software Engineer,21,High School,110666.0,Part-time,Austin,Large,25,Education,Yes,Python,3
Software Engineer,33,Bachelor,138458.0,Part-time,Austin,Small,54,IT,Yes,Data Analysis,1
Accountant,29,High School,,Full-time,Boston,Large,43,Education,Yes,Excel,3
Marketing Manager,24,Bachelor,93927.0,Full-time,Chicago,Small,54,Education,Yes,Excel,3
Data Scientist,27,High School,104860.0,Internship,San Francisco,Small,21,IT,Yes,C++,4
Nurse,0,PhD,138178.0,Part-time,Remote,Small,50,Healthcare,No,Python,3
Teacher,3,High School,131654.0,Part-time,San Francisco,Large,39,Manufacturing,Yes,C++,1
Data Scientist,6,Bachelor,60667.0,Part-time,Remote,Large,23,Retail,No,C++,3
Marketing Manager,8,PhD,85842.0,Full-time,,Small,50,Education,Yes,,2
Sales Executive,18,Bachelor,55843.0,Internship,Boston,Large,45,Healthcare,Yes,Python,4
Teacher,0,PhD,70808.0,Full-time,Boston,Small,41,Retail,Yes,,4
Sales Executive,9,Master,50543.0,Contract,San Francisco,Large,21,Education,No,C++,3
Accountant,8,Master,92780.0,Contract,Boston,Medium,19,Healthcare,Yes,Java,4
Accountant,31,Master,26611.0,Contract,Seattle,Large,30,Education,Yes,Java,4
Software Engineer,31,Bachelor,108242.0,Internship,Seattle,Large,63,Healthcare,No,Python,3
Sales Executive,5,Bachelor,104612.0,Contract,Remote,Large,28,Manufacturing,No,Marketing,1
Marketing Manager,16,PhD,66902.0,Internship,Chicago,Small,52,Finance,Yes,Data Analysis,3
Nurse,9,PhD,136452.0,Full-time,Austin,Small,56,Finance,Yes,C++,2
Teacher,26,PhD,53043.0,Full-time,Seattle,Medium,27,IT,Yes,C++,5
Data Scientist,34,PhD,25271.0,Internship,Remote,Medium,60,Retail,No,Python,1
Marketing Manager,20,High School,92867.0,Full-time,Boston,Enterprise,27,Education,Yes,Marketing,3
Marketing Manager,24,Master,97089.0,Full-time,Chicago,Medium,25,Education,No,Java,1
Accountant,27,High School,78745.0,Internship,Remote,Small,22,Healthcare,Yes,Data Analysis,5
Sales Executive,14,High School,116876.0,Contract,Remote,Medium,40,Retail,No,Excel,4
Software Engineer,3,High School,82077.0,Internship,Seattle,Medium,51,Education,No,C++,4
Software Engineer,28,High School,79119.0,Part-time,New York,Large,64,Retail,Yes,Excel,5
Teacher,8,Master,31573.0,Full-time,Chicago,Medium,49,Retail,Yes,Data Analysis,4
Accountant,26,High School,41409.0,Internship,San Francisco,Enterprise,33,Finance,No,C++,1
Marketing Manager,25,PhD,105970.0,Full-time,Remote,Large,21,Education,Yes,Data Analysis,4
Nurse,18,Bachelor,44464.0,Contract,Seattle,Small,45,Education,No,Python,5
Accountant,27,PhD,138148.0,Full-time,San Francisco,Enterprise,61,IT,No,C++,5
Teacher,16,Bachelor,62840.0,Internship,Chicago,Small,31,Retail,Yes,Marketing,5
Teacher,19,PhD,68785.0,Contract,Seattle,Enterprise,29,Healthcare,No,C++,2
Accountant,22,PhD,138523.0,Contract,San Francisco,Large,38,Finance,Yes,Python,1
Teacher,31,Bachelor,40662.0,Contract,Austin,Enterprise,33,IT,No,Data Analysis,5
Accountant,32,Master,38228.0,Part-time,Remote,Enterprise,61,Finance,Yes,SQL,1
Data Scientist,4,High School,80721.0,Internship,Austin,Medium,19,Healthcare,Yes,Python,2
Accountant,33,PhD,69223.0,Internship,New York,Small,40,IT,Yes,Python,1
Sales Executive,10,Master,27386.0,Contract,Boston,Large,46,Finance,No,Python,3
Accountant,2,High School,26862.0,Full-time,Chicago,Enterprise,63,Healthcare,Yes,Python,2
Teacher,32,Master,60108.0,Contract,Boston,Small,60,Manufacturing,No,,2
Sales Executive,10,Master,111788.0,Part-time,Boston,Small,26,IT,No,C++,4
